Tanggal Scoring,Kombinasi Kolom,Total Baris,Baris Unik,Jumlah Duplikat,Uniqueness Score (%),Status
2025-06-12 04:24:00,Timestamp + Source IP Address + Destination IP Address + Attack Signature,40000,40000,0,100.0,PASS
2025-06-12 04:24:00,Timestamp + Source IP Address + Destination Port,40000,40000,0,100.0,PASS
2025-06-12 04:24:00,Timestamp + Source IP Address + Protocol,40000,40000,0,100.0,PASS
2025-06-12 04:24:00,Source IP Address + Destination IP Address + Protocol + Attack Type,40000,40000,0,100.0,PASS
2025-06-12 04:24:00,Timestamp + Source IP Address + Destination IP Address + Source Port + Destination Port + Protocol + Packet Length + Packet Type + Traffic Type + Payload Data + Malware Indicators + Anomaly Scores + Alerts/Warnings + Attack Type + Attack Signature + Action Taken + Severity Level + User Information + Device Information + Network Segment + Geo-location Data + Proxy Information + Firewall Logs + IDS/IPS Alerts + Log Source,40000,40000,0,100.0,PASS
